1752364800000000,160.70000000,160.77000000,160.63000000,160.64000000,764.82300000,1752364859999999,122913.45006000,808,567.57900000,91218.44121000,0
1752364860000000,160.63000000,160.63000000,160.53000000,160.55000000,403.39600000,1752364919999999,64774.91917000,840,128.32300000,20603.86737000,0
1752364920000000,160.54000000,160.58000000,160.53000000,160.54000000,370.03900000,1752364979999999,59411.59406000,645,226.96900000,36442.30104000,0
1752364980000000,160.54000000,160.58000000,160.50000000,160.50000000,1156.34800000,1752365039999999,185643.72016000,706,579.53800000,93035.90325000,0
1752365040000000,160.51000000,160.56000000,160.49000000,160.50000000,127.20000000,1752365099999999,20418.00762000,424,77.02200000,12363.92875000,0
1752365100000000,160.49000000,160.50000000,160.43000000,160.45000000,385.64000000,1752365159999999,61882.48480000,685,67.54700000,10838.89813000,0
1752365160000000,160.45000000,160.45000000,160.28000000,160.32000000,499.52600000,1752365219999999,80100.79912000,742,190.21400000,30501.24080000,0
1752365220000000,160.32000000,160.36000000,160.25000000,160.30000000,380.64800000,1752365279999999,61018.05866000,753,258.99600000,41518.89152000,0
1752365280000000,160.31000000,160.31000000,160.20000000,160.20000000,414.46300000,1752365339999999,66413.67002000,512,44.19900000,7083.01715000,0
1752365340000000,160.21000000,160.36000000,160.20000000,160.36000000,1055.90800000,1752365399999999,169233.28748000,532,725.49500000,116256.61689000,0
1752365400000000,160.36000000,160.36000000,160.30000000,160.34000000,340.43300000,1752365459999999,54578.37502000,351,246.18800000,39470.36298000,0
1752365460000000,160.34000000,160.48000000,160.33000000,160.48000000,322.15200000,1752365519999999,51668.59764000,539,194.12900000,31136.85221000,0
1752365520000000,160.47000000,160.49000000,160.40000000,160.40000000,553.68500000,1752365579999999,88846.00824000,432,72.60800000,11652.06083000,0
1752365580000000,160.39000000,160.49000000,160.36000000,160.49000000,610.51800000,1752365639999999,97921.18830000,547,486.45300000,78021.28305000,0
1752365640000000,160.48000000,160.53000000,160.48000000,160.50000000,976.96700000,1752365699999999,156804.55703000,348,780.33500000,125243.92424000,0
1752365700000000,160.51000000,160.53000000,160.37000000,160.38000000,661.38500000,1752365759999999,106114.75625000,839,271.24700000,43512.17261000,0
1752365760000000,160.37000000,160.42000000,160.31000000,160.39000000,283.87300000,1752365819999999,45526.96993000,681,166.53300000,26707.77695000,0
1752365820000000,160.40000000,160.40000000,160.30000000,160.30000000,284.45500000,1752365879999999,45609.95795000,602,205.03800000,32875.65033000,0
1752365880000000,160.31000000,160.64000000,160.27000000,160.59000000,3845.46500000,1752365939999999,617247.30601000,1138,3282.20600000,526786.12831000,0
1752365940000000,160.60000000,160.64000000,160.57000000,160.57000000,754.64600000,1752365999999999,121195.33022000,488,244.36700000,39245.80363000,0
1752366000000000,160.58000000,160.74000000,160.54000000,160.74000000,707.55800000,1752366059999999,113629.79125000,656,508.93500000,81736.81883000,0
1752366060000000,160.73000000,160.93000000,160.73000000,160.93000000,1391.44100000,1752366119999999,223755.02602000,946,1037.93800000,166909.19684000,0
1752366120000000,160.92000000,161.39000000,160.92000000,161.20000000,9479.13700000,1752366179999999,1527358.80792000,3261,7624.58300000,1228318.98531000,0
1752366180000000,161.20000000,161.25000000,161.05000000,161.17000000,6668.83100000,1752366239999999,1074703.80971000,1992,5192.20700000,836772.32289000,0
1752366240000000,161.18000000,161.19000000,160.92000000,161.00000000,1556.23000000,1752366299999999,250600.67506000,1407,715.82300000,115287.58176000,0
1752366300000000,161.00000000,161.67000000,160.98000000,161.57000000,10903.69600000,1752366359999999,1759291.36778000,3582,8254.65600000,1331640.73887000,0
1752366360000000,161.58000000,161.75000000,161.44000000,161.47000000,7571.06700000,1752366419999999,1223417.16847000,3982,2103.65500000,339869.74428000,0
1752366420000000,161.47000000,161.47000000,161.38000000,161.41000000,1679.43700000,1752366479999999,271103.20763000,1149,1146.94500000,185138.90166000,0
1752366480000000,161.41000000,161.48000000,161.39000000,161.46000000,752.86200000,1752366539999999,121540.21463000,668,491.90100000,79413.75635000,0
1752366540000000,161.46000000,161.55000000,161.45000000,161.54000000,621.07200000,1752366599999999,100295.65709000,595,353.33000000,57053.82877000,0
1752366600000000,161.54000000,161.55000000,161.30000000,161.37000000,1277.24600000,1752366659999999,206189.99367000,1274,492.26000000,79442.30371000,0
1752366660000000,161.37000000,161.43000000,161.33000000,161.38000000,1157.71400000,1752366719999999,186829.58065000,1047,916.43600000,147894.65225000,0
1752366720000000,161.37000000,161.42000000,161.30000000,161.31000000,651.79200000,1752366779999999,105172.30944000,817,448.88100000,72427.84820000,0
1752366780000000,161.30000000,161.31000000,161.26000000,161.27000000,1042.93300000,1752366839999999,168202.82137000,644,906.64800000,146221.98542000,0
1752366840000000,161.28000000,161.34000000,161.22000000,161.24000000,1087.29500000,1752366899999999,175332.96195000,612,381.68400000,61554.72943000,0
1752366900000000,161.24000000,161.27000000,161.20000000,161.26000000,514.38300000,1752366959999999,82932.15143000,623,375.35000000,60515.77707000,0
1752366960000000,161.26000000,161.26000000,160.97000000,161.03000000,937.36200000,1752367019999999,150955.94706000,971,355.86000000,57297.29917000,0
1752367020000000,161.04000000,161.04000000,160.86000000,160.87000000,925.07800000,1752367079999999,148900.53297000,830,470.54300000,75730.57070000,0
1752367080000000,160.87000000,161.12000000,160.87000000,161.01000000,694.89400000,1752367139999999,111905.44483000,1163,406.11200000,65389.40996000,0
1752367140000000,161.01000000,161.19000000,161.00000000,161.15000000,1156.61000000,1752367199999999,186322.87304000,993,924.41200000,148913.48156000,0
